gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
Smp_242200.2	1.13	0	0.08	0	0	0.98	1.52	0	1	1.39	1.09	1.1	18.58	28.14	25.62	13.55	14.45	13.7	0	1.31	0	1.32	2.43	3.38
Smp_242200.3	0	0.02	0	0.63	0.14	0	0	0.26	0.76	0	0	0	5.65	9.03	8.49	6.7	5.22	5.05	1.22	0	2.22	0.29	1.29	1.21
Smp_242220.1	77.66	17.48	16.39	18.1	7.77	32.44	31.2	30.4	33.09	28.82	28.33	35.19	37.5	33.63	34.61	77.46	67.13	62.42	31.07	30.55	31.26	61.65	66.94	75.91
Smp_242230.1	23.19	5.92	3.94	19.27	12.53	29.26	15.44	15.5	16.76	13.35	10.96	16.21	16.16	16.07	16.97	41.8	35.44	38.88	9.67	8.5	8.38	20.56	27.53	26.52
Smp_242240.1	100.52	5.58	2.65	17.85	9.76	28.52	17.22	17.1	24.25	17.65	18.28	17.52	497.48	794.51	568.79	413.93	610.7	455.69	34.07	39.22	32.18	48.72	74.76	83.59
Smp_242350.1	8.55	0.06	0.19	3.91	4.84	4.92	1.29	1.61	1.78	1.59	1.13	1.43	4.52	5.45	5.72	8.08	5.43	6.26	1.19	1.45	1.33	2.39	3.39	3.34
Smp_242360.1	15.48	1.79	1.26	7.83	1.13	8.31	5.35	5.97	5.61	5.69	3.37	5.17	5.67	5.28	4.85	10.31	10.66	10.51	6.62	5.86	3.72	8.07	8.6	8.88
Smp_242360.2	35.58	5.35	6.5	32.14	24.16	33.75	17.24	19.88	22.45	24.76	16.42	19.16	20.43	20.76	23.26	31.02	25.44	31.33	18.89	18.36	18.5	31.79	33.91	33.55
Smp_242400.1	100.09	42.19	50.75	34.68	31.4	50.9	75.64	87.11	91.72	101.04	100.25	88.52	97.5	88.74	110.09	131.92	129.91	123.79	41.94	37.82	47.86	63.64	57.67	72.47
Smp_242430.1	6.54	7.13	2.58	1.82	1.92	11.92	8.16	8.63	11.59	9.82	9.94	10.73	17.05	16.68	18.32	35.16	29.37	33.76	8	6.19	8.31	17.47	22.19	25.27
